1 28/03/2019 2686552 No funciona Pc SI
2 16/11/2018 2686552 No hay internet NO
3 29/12/2018 2686552 No funciona Pc SI
4 31/05/2019 2686552 No hay internet SI
5 06/04/2019 2686552 No hay internet NO
6 12/08/2018 2686552 No funciona teclado SI
7 15/03/2019 2686552 No funciona teclado SI
8 09/04/2019 2686552 No funciona Pc SI
9 05/05/2019 2686552 No funciona Pc NO
10 07/06/2019 2686552 No funciona Pc SI
11 23/10/2018 2686552 No hay internet NO
12 21/10/2018 2686552 No funciona teclado NO
13 19/09/2018 2686552 No funcion mouse SI
14 03/09/2018 2686552 No funciona Pc SI
15 07/04/2019 2686552 No hay internet NO
16 09/12/2018 2686552 No funciona telefono NO
17 07/03/2019 2686552 No funciona Pc NO
18 15/08/2018 2686552 No funciona teclado NO
19 28/08/2018 2686552 No funciona teclado NO
20 12/07/2018 2686552 No funciona telefono NO
21 23/09/2018 2686552 No funciona teclado NO
22 25/05/2019 2686552 No funciona telefono SI
23 29/01/2019 2686552 No funciona Pc SI
24 10/10/2018 2686552 No funciona Pc NO
25 18/02/2019 2686552 No funciona teclado NO
26 20/10/2018 2686552 No funcion mouse SI
27 07/01/2019 2686552 No hay internet SI
28 02/11/2018 2686552 No funciona telefono SI
29 02/12/2018 2686552 No funciona telefono NO
30 23/05/2019 2686552 No funciona telefono NO
31 13/11/2018 2686552 No funciona telefono NO
32 06/10/2018 2686552 No funciona telefono SI
33 11/02/2019 2686552 No funciona telefono NO
34 04/10/2018 2686552 No funcion mouse NO
35 27/09/2018 2686552 No funciona teclado NO
36 06/07/2019 2686552 No funciona Pc SI
37 22/08/2018 2686552 No hay internet SI
38 02/07/2019 2686552 No hay internet NO
39 21/02/2019 2686552 No funcion mouse NO
40 06/04/2019 2686552 No funcion mouse NO
41 11/12/2018 2686552 No funciona Pc SI
42 28/11/2018 2686552 No funciona telefono SI
43 19/03/2019 2686552 No funcion mouse NO
44 08/08/2018 2686552 No funciona teclado SI
45 15/09/2018 2686552 No funciona telefono SI
46 22/10/2018 2686552 No funciona telefono NO
47 15/04/2019 2686552 No hay internet NO
48 09/10/2018 2686552 No funciona telefono SI
49 08/01/2019 2686552 No funciona telefono NO
50 24/10/2018 2686552 No funciona teclado SI
51 11/02/2019 2686552 No funciona telefono SI
52 16/05/2019 2686552 No funciona telefono NO
53 20/06/2019 2686552 No funciona teclado SI
54 07/08/2018 2686552 No funciona telefono NO
55 06/11/2018 2686552 No funciona telefono NO
56 20/12/2018 2686552 No funcion mouse SI
57 25/12/2018 2686552 No funciona teclado NO
58 13/06/2019 2686552 No funciona telefono NO
59 29/03/2019 2686552 No funciona teclado SI
60 11/08/2018 2686552 No funciona telefono NO
61 18/02/2019 2686552 No funcion mouse NO
62 22/09/2018 2686552 No funciona teclado SI
63 25/01/2019 2686552 No funciona teclado NO
64 10/08/2018 2686552 No funciona Pc SI
65 17/11/2018 2686552 No funciona telefono NO
66 22/10/2018 2686552 No hay internet SI
67 02/09/2018 2686552 No hay internet SI
